video_title,video,views,comments,likes,dislikes,estimatedMinutesWatched,subscribersGained,subscribersLost
Polarizing Filter Explained! WHY and HOW to use it?,UWY75O1Cv08,8860,9,155,4,22312,79,1
7 Tips and Tricks to Shoot Cinematic Videos with Smartphone!,6UoqDHhS2vI,25301,9,587,13,41497,252,7
How to COLOR GRADE your videos in Final Cut Pro X?,8UJSGc4HXIU,5741,7,155,1,21396,81,1
10 PHOTO EDITING Tips and Tricks YOU SHOULD KNOW!,kIKGbsla-_g,846,0,-10,0,2124,5,0
How to get Perfect FOCUS while shooting Videos?,1WXFuP9s0ZU,30188,20,843,6,95407,323,12
LG G8X: A Dual Screen Phone with Amazing Cameras!,Q2I6vXRXR8A,4452,3,8,0,8596,20,1
Shoot CINEMATIC VIDEOS with any CAMERA!,FxXIyNIDNFE,8912,5,240,2,25344,141,2
PHOTOGRAPHY - A Film by Saurav Sinha,8zKDapVeMa4,5347,2,-172,-5,5457,69,2
How to COLOR GRADE your videos in Premiere Pro?,AUcTZXLKmZ4,20723,22,629,5,78323,305,7
Online WORKSHOPS Announcement!,bBv8lcfgoz0,69,0,-10,0,58,1,0
How to Turn Any ROOM into a HOME STUDIO?!,uCQNaVBjlsM,309,0,-41,0,808,3,0
I Review Your INSTAGRAM Photos! Part #3,VhllgUrCr9A,196,0,-21,0,947,0,0
Insta 360 One R Review: Future of Action Cameras!,CP4hmahUC8Y,124,0,-11,0,186,0,0
Shoot Better VIDEOS with any Smartphone!,cCCARlRybsY,3395,0,-68,-3,8238,32,1
Camera Calibration Explained: Get AMAZING Colors and Tones!,9F-L-bAtYvo,573,0,3,1,1421,5,0
Split Toning Explained: Fastest Way to Color Grade Images!,6Uuhtp0xfZo,732,0,8,0,1619,5,0
I Review Your INSTAGRAM Photos! Part #2,mRP2zZHyURI,357,0,-15,0,1451,3,0
HSL Panel Explained: Best TOOL for COLOR GRADING!,JtwPed-Gjf4,6784,3,198,3,21349,112,1
TONE CURVE Explained: Most Powerful Tool for Editing!,q0twHRNY2Xw,19983,14,683,2,51637,281,4
I Review Your INSTAGRAM Photos! Part #1,0Hr2x72Ffso,602,0,8,-1,2997,6,0
10 Mobile Photography TIPS and IDEAS in 100 seconds!,YmvN7Dqjs7g,531,0,1,0,710,6,1
Mobile Photography: Pro Mode vs Auto Mode!,vEWsvvv2w6Y,9829,0,175,0,18964,205,1
5 Photographers Edit 1 Photo! Part #2,rG8PMLxNP-Q,240,0,-11,0,289,1,0
Picture Profile Explained! Why does it MATTER?,BOYg5upzoS0,361,0,0,0,705,3,0
What&#39;s NOT in my Camera Bag?!,5IZku-lTxwY,147,0,-6,-1,244,0,0
Snapseed Mobile Tutorial every BEGINNER should watch!,ELbU63bH9ys,2348,2,52,0,7478,24,1
Must Try Camera HACK : Tripod Slider!,ncz1U0TpuGA,581,0,-6,0,579,4,0
5 Things to do as a Photographer at HOME!,RB4m3zbsc_k,225,0,-15,0,559,1,0
Coronavirus: Why India should be careful? Explained!,xe-QXTHe40Y,34,0,-3,0,14,0,0
5 Food Photography Tips you must know!,_63914ECOkA,11727,5,242,5,25139,161,3
5 Photographers Edit 1 Photo! Part #1,CotcgUMJcW0,241,0,-14,-2,419,2,1
What CAMERA should I buy? SOLVED!,9dkg6pghA4w,965,0,-3,0,3715,3,1
10 Things I wish I would have known as a Teenager!,eZChEVJEZug,147,0,-3,0,356,0,0
Nikon Z50 Unboxing and First Impressions!,vHamPjXWKWs,1077,0,32,1,1177,7,0
How to make a Career in Photography?,Of45_jVFpJw,488,0,-20,0,1539,8,1
5 AMAZING Photography Tips you MUST know!,xYivUBO_MWU,360,0,-10,-1,941,2,1
Exposure Compensation Explained! Why does it MATTER?,Jkgehr2WPsg,12490,4,340,5,31573,130,5
Focal Length Explained! Why does it MATTER?,Y0TKVDlOGk4,47273,30,1448,31,126090,761,15
4 Mobile Photography TIPS you must know!,wZzlKSMyUsQ,2067,2,7,1,4763,29,0
Add DRAMA to your Photos! Lightroom Tutorial,Hdy77koHgt4,373,0,-3,0,1145,1,0
5 Reasons Why YOU are not Improving as a Photographer?,zlrfIZ_eBOg,1216,3,9,0,4052,8,0
Mesmerizing Meghalaya - Heaven on Earth!,ZYYwOpnsAZE,483,0,-35,-2,611,3,0
Does MEGAPIXELS really matter in Smartphones?,qjuUDhV4_kE,5996,5,187,-2,15366,66,1
YOU CAN ACHIEVE ANYTHING! - MOTIVATIONAL VIDEO,q3RkOGw9vGA,608,0,-16,-1,1281,2,0
